"Serial Number","Part Number","Part Name English","Part Name Language 1","Part Name Language 2","Part Name Language 3","Part Name Language 4","Part Name Language 5","Part Number in Other Format","Reference Number","Additional Information","Extra Data"
"13","178100010040","CROSS BEARING","PALIER TRANSVERSAL","KREUZLAGER","CUSCINETTO CROCIERA","RODAMIENTO TRANSVERSAL","\xc5\x81O\xc5\xbbYSKO POPRZECZNE","178.100.010.040","72316723","-","-"
"14","199100010020","AXLE","ESSIEU","ACHSE","ASSALE","EJE","O\xc5\x9a","199.100.010.020","72310138","-","-"
"15","278110011120","DIFFERENTIAL PINION","PIGNON DE DIFF\xc3\x89RENTIEL","AUSGLEICHSKEGELRAD","PIGNONE DIFFERENZIALE","PINON DEL DIFERENCIAL","Z\xc4\x98BNIK MECHANIZMU R\xc3\x93\xc5\xbbNICOWEGO","278.110.011.120","72312406","*11\n<-- U148.100.110  1X","-"
"16","514100010100","514.100.010.100","72317257","1,0 MM","514100010110","514.100.010.110","72317258","1,2 MM","514100010120","514.100.010.120","72317259___1,5 MM"
"17","X500621846000","TENSIONING PIN","BROCHE DE TENSIONNEMENT","SPANNSTIFT","PERNO TENSIONE","PERNO TENSOR","TRZPIE\xc5\x83 ROZPR\xc4\x98\xc5\xbbNY","X500.621.846.000","72313811","ISO8752 5X30-ST VDA42","-"
"18","X500610446000","X500.610.446.000","72313798","ISO8752-3X30-A-ST-OB3 FWN10256","-","-","-","-","-","-","-"
"19","210103011040","210.103.011.040","72435674","-","-","-","-","-","-","-","-"
"20","SIEHE WECHSELGETRIEBE","SEE GEAR BOX (CHANGE-SPEED)","VER CAJA DE CAMBIOS","VOIR BOITE DE VITESSE","VEDI CAMBIO","PATRZ SKRZYNIA BIEG\xc3\x93W (ZMIANA BIEG\xc3\x93W)","-","-","-","-","-"
"21","168109010010","DIFFERENTIAL HOUSING","CARTER DE DIFF\xc3\x89RENTIEL","DIFFERENTIALGEH\xc3\x84USE","SCATOLA DIFFERENZIALE","ALOJAMIENTO DIFERENCIAL","OBUDOWA MECHANIZMU R\xc3\x93\xc5\xbbNICOWEGO","168.109.010.010","72392781","-","-"
"22","-","-","-","-","-","-","-","-","-","-","-"
"23","X623138320000","X623.138.320.000","72378806","-","-","-","-","-","-","-","-"
"24","-","-","-","-","-","-","-","-","-","-","-"
"25","178100010050","KEYED WASHER","RONDELLE CLAVET\xc3\x89E","EINSTELLSCHEIBE","RONDELLA MASCHIATA","ARANDELA ENCHAVETADA","PODK\xc5\x81ADKA Z WYPUSTEM","178.100.010.050","72393067","178100010051","178.100.010.051___72393068___178100010052___178.100.010.052___72393069___0,20 MM___178100010053___178.100.010.053___72393070"
"26","X549284566000","X549.284.566.000","72376717","101X3-NBR 70 FWN56402","-","-","-","-","-","-","-"
"27","205100011091","BEARING CAP","CHAPEAU DE PALIER","LAGERKAPPE","CAPPELLO DEL SUPPORTO","TAPA DE COJINETE","POKRYWA \xc5\x81O\xc5\xbbYSKA","205.100.011.091","72397528","-","-"
"28","X487531806000","X487.531.806.000","72315688","M10 X 35 CL10.9","-","-","-","-","-","-","-"
